TITLE = "LBM Flow with Thermal Convection"
VARIABLES = "X", "Y", "U", "V", "Rho", "Temperature"
ZONE T="Step 11", I=11, J=6, F=POINT
0 0 0.0499847 -0.00126735 0.999391 288.051
0 1 0.0512291 -0.00261315 1.0042 280.623
0 2 0.046534 -0.00387654 1.008 281.209
0 3 0.0514653 0.000467677 0.997935 279.146
0 4 0.0520833 -0.00589758 1.01068 281.716
0 5 0.0386045 -0.00860521 1.00903 280.942
1 0 0.0511046 -0.000995345 1.00272 290.56
1 1 0.0514905 -0.000592855 1.00177 281.28
1 2 0.0479478 -0.00149578 1.00363 279.314
1 3 0.0545987 -0.00691432 0.999807 280.407
1 4 0.0578361 -0.00616163 1.00782 281.592
1 5 0.0283587 -0.00243007 0.994504 278.784
2 0 0.0506098 -0.00202119 1.0024 288.156
2 1 0.0517751 -0.000486871 1.00197 281.628
2 2 0.0496779 -0.000819228 1.00647 280.669
2 3 0.0559667 -0.000254424 1.00037 280.79
2 4 0.0551876 0.000943091 1.00554 281.147
2 5 0.0288625 0.000102811 0.999718 280.477
3 0 0.0502628 0.00073959 0.999186 288.144
3 1 0.0526018 -0.0005784 1.00233 281.43
3 2 0.0496675 -0.00325191 1.00614 279.852
3 3 0.0535378 -0.000489637 0.995999 279.888
3 4 0.0498659 0.00255745 1.00449 280.571
3 5 0.0332318 0.000903227 1.008 282.486
4 0 0.0502361 -0.000757536 0.998195 287.375
4 1 0.0522384 0.000982542 0.99777 280.61
4 2 0.0479602 9.23061e-05 1.00396 279.212
4 3 0.0531482 0.000718059 0.998045 280.696
4 4 0.0493509 -0.00267053 1.00441 280.295
4 5 0.0312532 -0.00285936 1.00287 281.611
5 0 0.0484828 -0.000871616 1.00404 288.951
5 1 0.0528793 4.87541e-05 0.998582 280.557
5 2 0.045378 0.000297778 0.997931 277.845
5 3 0.0529124 -6.16202e-05 1.00178 281.491
5 4 0.0506796 -0.0010541 1.00582 280.538
5 5 0.0277823 -0.00108371 1.00002 280.667
6 0 0.0487323 0.00164118 1.00018 287.956
6 1 0.0545717 -0.000240205 1.00113 281.258
6 2 0.0437766 -0.00118579 1.00454 279.73
6 3 0.0526695 -0.00157879 0.999977 281.265
6 4 0.0484753 8.56775e-05 1.00333 280.014
6 5 0.0273209 0.000755844 1.00391 281.772
7 0 0.0504346 0.000595023 0.997012 288.497
7 1 0.0526204 -0.00135097 1.00466 281.82
7 2 0.0449806 -3.18004e-05 1.00198 278.412
7 3 0.0509385 -0.00179205 1.00738 283.461
7 4 0.0459529 -0.000728182 0.999485 279.333
7 5 0.0274442 0.00381842 1.0049 281.827
8 0 0.0504792 -0.00193915 1.00166 288.477
8 1 0.0531665 -0.000531407 0.99704 279.36
8 2 0.0463355 -0.001325 1.00025 278.372
8 3 0.053038 -0.006233 1.00864 283.478
8 4 0.0404495 -0.00666975 1.0065 280.71
8 5 0.0283669 -0.000162843 1.0043 281.711
9 0 0.0506523 0.00136845 0.998605 288.549
9 1 0.0496631 -0.00342343 1.0021 281.6
9 2 0.049808 -0.00346843 1.00191 279.512
9 3 0.0519782 -0.00230317 1.0088 283.299
9 4 0.048241 -0.00697865 0.995329 278.671
9 5 0.0168667 -0.00623765 1.01744 284.856
10 0 0.0510465 0.00350644 0.998172 289.132
10 1 0.0510033 -0.000273702 1.00034 282.042
10 2 0.0485334 -0.00430472 1.00625 280.368
10 3 0.0544046 -0.00438204 1.00321 281.955
10 4 0.0479013 0.00305433 1.00202 279.996
10 5 0.0163249 0.00493171 1.00553 282.1
