TITLE = "LBM Flow with Thermal Convection"
VARIABLES = "X", "Y", "U", "V", "Rho", "Temperature"
ZONE T="Step 1", I=11, J=6, F=POINT
0 0 0.05 0 1 280
0 1 0.05 0 1 280
0 2 0.05 0 1 280
0 3 0.05 0 1 280
0 4 0.05 0 1 280
0 5 0.05 0 1 280
1 0 0.05 0 1 280
1 1 0.05 0 1 280
1 2 0.05 0 1 280
1 3 0.05 0 1 280
1 4 0.05 0 1 280
1 5 0.05 0 1 280
2 0 0.05 0 1 280
2 1 0.05 0 1 280
2 2 0.05 0 1 280
2 3 0.05 0 1 280
2 4 0.05 0 1 280
2 5 0.05 0 1 280
3 0 0.05 0 1 280
3 1 0.05 0 1 280
3 2 0.05 0 1 280
3 3 0.05 0 1 280
3 4 0.05 0 1 280
3 5 0.05 0 1 280
4 0 0.05 0 1 280
4 1 0.05 0 1 280
4 2 0.05 0 1 280
4 3 0.05 0 1 280
4 4 0.05 0 1 280
4 5 0.05 0 1 280
5 0 0.05 0 1 280
5 1 0.05 0 1 280
5 2 0.05 0 1 280
5 3 0.05 0 1 280
5 4 0.05 0 1 280
5 5 0.05 0 1 280
6 0 0.05 0 1 280
6 1 0.05 0 1 280
6 2 0.05 0 1 280
6 3 0.05 0 1 280
6 4 0.05 0 1 280
6 5 0.05 0 1 280
7 0 0.05 0 1 280
7 1 0.05 0 1 280
7 2 0.05 0 1 280
7 3 0.05 0 1 280
7 4 0.05 0 1 280
7 5 0.05 0 1 280
8 0 0.05 0 1 280
8 1 0.05 0 1 280
8 2 0.05 0 1 280
8 3 0.05 0 1 280
8 4 0.05 0 1 280
8 5 0.05 0 1 280
9 0 0.05 0 1 280
9 1 0.05 0 1 280
9 2 0.05 0 1 280
9 3 0.05 0 1 280
9 4 0.05 0 1 280
9 5 0.05 0 1 280
10 0 0.05 0 1 280
10 1 0.05 0 1 280
10 2 0.05 0 1 280
10 3 0.05 0 1 280
10 4 0.05 0 1 280
10 5 0.05 0 1 280
