TITLE = "LBM Flow with Thermal Convection"
VARIABLES = "X", "Y", "U", "V", "Rho", "Temperature"
ZONE T="Step 101", I=41, J=21, F=POINT
0 0 0.0364599 0.00693712 1.01465 288.494
0 1 0.054733 0.00786738 1.01246 280.305
0 2 0.0506999 -0.0027368 1.01013 280.531
0 3 0.0453125 0.00376033 1.01321 279.722
0 4 0.052983 0.00804216 1.01387 279.46
0 5 0.0520545 -0.000150013 1.01209 280.074
0 6 0.0492375 -0.00162216 1.01327 280.664
0 7 0.0477454 0.00307515 1.01481 280.782
0 8 0.0518643 0.00208082 1.01487 281.16
0 9 0.0492809 -0.00209955 1.01618 281.316
0 10 0.0475559 1.56689e-16 1.01854 281.151
0 11 0.0492809 0.00209955 1.01618 281.443
0 12 0.0518643 -0.00208082 1.01487 281.225
0 13 0.0477454 -0.00307515 1.01481 280.943
0 14 0.0492375 0.00162216 1.01327 280.848
0 15 0.0520545 0.000150013 1.01209 280.437
0 16 0.052983 -0.00804216 1.01387 279.593
0 17 0.0453125 -0.00376033 1.01321 280.17
0 18 0.0506999 0.0027368 1.01013 280.605
0 19 0.054733 -0.00786738 1.01246 281.023
0 20 0.0364599 -0.00693712 1.01465 280.325
1 0 0.0239377 0.000902372 1.00563 291.232
1 1 0.0594964 0.00920017 1.01335 280.974
1 2 0.0530704 0.0120675 1.01411 280.826
1 3 0.0470688 0.00261646 1.01076 281.115
1 4 0.0541157 -0.00208055 1.01134 280.206
1 5 0.0534269 0.00241631 1.01391 282.352
1 6 0.0502104 0.00403459 1.01191 281.534
1 7 0.0470684 -0.000287466 1.01241 281.685
1 8 0.0511684 0.000443615 1.01593 282.123
1 9 0.048324 0.00261214 1.01563 282.041
1 10 0.0465973 3.41934e-16 1.01465 282.016
1 11 0.048324 -0.00261214 1.01563 282.152
1 12 0.0511684 -0.000443615 1.01593 282.208
1 13 0.0470684 0.000287466 1.01241 281.685
1 14 0.0502104 -0.00403459 1.01191 281.794
1 15 0.0534269 -0.00241631 1.01391 282.295
1 16 0.0541157 0.00208055 1.01134 280.559
1 17 0.0470688 -0.00261646 1.01076 280.638
1 18 0.0530704 -0.0120675 1.01411 282.001
1 19 0.0594964 -0.00920017 1.01335 281.895
1 20 0.0239377 -0.000902372 1.00563 279.922
2 0 0.0225692 -0.000149441 1.01073 291.205
2 1 0.0547598 0.00260541 1.01412 282.672
2 2 0.0550754 0.00254363 1.01213 281.686
2 3 0.0547312 -0.0012614 1.01089 281.634
2 4 0.051862 0.000674479 1.01177 281.429
2 5 0.0525199 0.00399727 1.01292 281.676
2 6 0.0508852 0.000473169 1.01114 280.644
2 7 0.0477476 -0.00312175 1.0119 281.404
2 8 0.047791 -0.00200584 1.01431 282.276
2 9 0.0477899 0.000323681 1.01459 281.944
2 10 0.047897 3.6295e-16 1.01326 280.937
2 11 0.0477899 -0.000323681 1.01459 281.912
2 12 0.047791 0.00200584 1.01431 282.428
2 13 0.0477476 0.00312175 1.0119 281.517
2 14 0.0508852 -0.000473169 1.01114 280.887
2 15 0.0525199 -0.00399727 1.01292 281.772
2 16 0.051862 -0.000674479 1.01177 281.984
2 17 0.0547312 0.0012614 1.01089 281.637
2 18 0.0550754 -0.00254363 1.01213 281.805
