TITLE = "LBM Flow with Thermal Convection"
VARIABLES = "X", "Y", "U", "V", "Rho", "Temperature"
ZONE T="Step 3000", I=11, J=6, F=POINT
0 0 0.0495502 -0.00128558 5.85766 290.125
0 1 0.051141 -0.00408563 5.87838 282.482
0 2 0.0469693 -0.00251558 5.86559 282.205
0 3 0.0506975 -6.81495e-06 5.85224 281.553
0 4 0.0531735 -0.00743814 5.87787 281.885
0 5 0.0356484 -0.00649755 5.90295 282.783
1 0 0.0485694 -0.00554677 5.86725 295.123
1 1 0.0511073 -0.0023968 5.85021 286.457
1 2 0.0477999 -0.00440302 5.85992 285.212
1 3 0.0534198 -0.0126962 5.8913 286.59
1 4 0.0568803 -0.0110117 5.86769 285.017
1 5 0.0224124 -0.00204922 5.82973 286.342
2 0 0.0476277 -0.00695116 5.86696 296.06
2 1 0.0469443 -0.00517865 5.86254 291.444
2 2 0.0528275 -0.00499078 5.86225 289.507
2 3 0.0550915 -0.00811288 5.86969 288.706
2 4 0.049928 -0.00571177 5.86971 289.654
2 5 0.0179221 -0.000344782 5.8541 293.787
3 0 0.0468217 -0.00586545 5.85517 298.046
3 1 0.0471064 -0.0091773 5.87626 295.049
3 2 0.0544424 -0.0113724 5.87565 293.334
3 3 0.0519495 -0.00696414 5.84637 291.695
3 4 0.0413533 -0.000539939 5.86184 295.121
3 5 0.0184113 0.00138818 5.89159 301.401
4 0 0.0458844 -0.0102753 5.86412 300.203
4 1 0.0493348 -0.0094342 5.85881 298.591
4 2 0.0504058 -0.00825111 5.86991 296.635
4 3 0.0474294 -0.00589149 5.8745 297.473
4 4 0.0377839 -0.00431832 5.86326 301.342
4 5 0.0170357 -0.00169375 5.86505 307.142
5 0 0.0448627 -0.0121162 5.87448 301.226
5 1 0.0476614 -0.00944837 5.86231 301.743
5 2 0.0474172 -0.00789327 5.85909 300.854
5 3 0.0456456 -0.00821514 5.88166 303.142
5 4 0.0345917 -0.00484883 5.87247 309.159
5 5 0.0128583 -0.000576379 5.84876 315.184
6 0 0.0439957 -0.00816969 5.86981 303.789
6 1 0.0437941 -0.0086316 5.88277 307.435
6 2 0.0473536 -0.0072124 5.86615 306.303
6 3 0.0439373 -0.00446654 5.85374 307.963
6 4 0.0299103 -0.00239189 5.87344 316.436
6 5 0.0100348 -0.000668286 5.88077 325.35
7 0 0.0431258 -0.0106216 5.86364 304.973
7 1 0.0428836 -0.0105481 5.86907 310.004
7 2 0.0441008 -0.00843606 5.88135 311.507
7 3 0.0380997 -0.00301935 5.86464 315.313
7 4 0.026588 0.00177136 5.85884 323.905
7 5 0.0111186 0.00207272 5.87638 333.484
8 0 0.0421842 -0.00716807 5.8765 306.227
8 1 0.040857 -0.00303411 5.85872 313.287
8 2 0.0401695 -0.000578744 5.87137 317.533
8 3 0.0352004 -0.00444834 5.88822 325.436
8 4 0.0237349 -0.00604071 5.8683 334.076
8 5 0.0105624 -0.00192734 5.84991 341.828
9 0 0.0411146 0.0031044 5.89076 307.736
9 1 0.0370823 0.00146398 5.88719 318.881
9 2 0.0414909 0.000469271 5.85704 324.112
9 3 0.0393941 -6.0054e-06 5.85903 330.928
9 4 0.0243814 -0.00231163 5.87772 342.598
9 5 0.00372635 -0.00202183 5.87468 351.609
10 0 0.0402836 0.00379422 5.87587 305.78
10 1 0.0368247 0.00359375 5.88389 318.146
10 2 0.042716 0.00305001 5.87368 325.051
10 3 0.0395182 0.00306917 5.85208 330.531
10 4 0.0237266 0.0045524 5.86039 341.934
10 5 0.00399553 0.00286112 5.88646 352.884
