TITLE = "LBM Flow with Thermal Convection"
VARIABLES = "X", "Y", "U", "V", "Rho", "Temperature"
ZONE T="Step 2000", I=41, J=21, F=POINT
0 0 0.0359229 0.00714574 1.11013 288.865
0 1 0.054756 0.00658521 1.10667 280.113
0 2 0.0505782 -0.00220495 1.10495 280.372
0 3 0.0457357 0.00362 1.10715 279.224
0 4 0.052558 0.00619075 1.108 279.256
0 5 0.0520357 -0.0013093 1.10584 279.61
0 6 0.0489097 -0.00288797 1.10646 280.258
0 7 0.0481864 0.00175948 1.1071 279.904
0 8 0.0521957 0.00111623 1.10625 279.847
0 9 0.0499673 -0.00236947 1.1065 279.563
0 10 0.0485673 9.39633e-17 1.1077 279.146
0 11 0.0499673 0.00236947 1.1065 279.68
0 12 0.0521957 -0.00111623 1.10625 279.958
0 13 0.0481864 -0.00175948 1.1071 280.035
0 14 0.0489097 0.00288797 1.10646 280.401
0 15 0.0520357 0.0013093 1.10584 280.024
0 16 0.052558 -0.00619075 1.108 279.455
0 17 0.0457357 -0.00362 1.10715 279.552
0 18 0.0505782 0.00220495 1.10495 280.441
0 19 0.054756 -0.00658521 1.10667 280.701
0 20 0.0359229 -0.00714574 1.11013 280.154
1 0 0.0239755 0.000963265 1.09975 291.144
1 1 0.0596668 0.00848466 1.10763 280.032
1 2 0.052945 0.0113514 1.10934 279.887
1 3 0.0474047 0.00161905 1.10392 279.6
1 4 0.0545041 -0.00417384 1.10581 279.222
1 5 0.0533149 -2.57884e-05 1.10832 281.048
1 6 0.0496654 0.000545409 1.10598 280.152
1 7 0.0476242 -0.00322583 1.10503 279.997
1 8 0.0518661 -0.00194056 1.10828 280.111
1 9 0.0496301 0.00122974 1.10729 279.738
1 10 0.048625 5.14746e-16 1.10538 279.657
1 11 0.0496301 -0.00122974 1.10729 279.785
1 12 0.0518661 0.00194056 1.10828 280.181
1 13 0.0476242 0.00322583 1.10503 279.991
1 14 0.0496654 -0.000545409 1.10598 280.494
1 15 0.0533149 2.57884e-05 1.10832 281.212
1 16 0.0545041 0.00417384 1.10581 279.563
1 17 0.0474047 -0.00161905 1.10392 279.038
1 18 0.052945 -0.0113514 1.10934 281.005
1 19 0.0596668 -0.00848466 1.10763 280.904
1 20 0.0239755 -0.000963265 1.09975 278.909
2 0 0.0224322 -4.84983e-05 1.10429 290.675
2 1 0.055089 0.00204553 1.10708 281.203
2 2 0.0553155 0.00154117 1.10589 280.369
2 3 0.0550791 -0.00198543 1.10508 280.153
2 4 0.0515516 -0.000822831 1.10632 280.612
2 5 0.0533429 0.00129255 1.10706 280.257
2 6 0.0514898 -0.00276082 1.10621 279.512
2 7 0.0484206 -0.00573931 1.10625 280.214
2 8 0.0486889 -0.00365109 1.10754 280.741
2 9 0.0488233 -0.000749506 1.10724 280.092
2 10 0.0486948 2.44596e-16 1.10638 279.152
2 11 0.0488233 0.000749506 1.10724 280.124
2 12 0.0486889 0.00365109 1.10754 280.829
2 13 0.0484206 0.00573931 1.10625 280.349
2 14 0.0514898 0.00276082 1.10621 279.84
2 15 0.0533429 -0.00129255 1.10706 280.432
2 16 0.0515516 0.000822831 1.10632 280.804
2 17 0.0550791 0.00198543 1.10508 280.183
2 18 0.0553155 -0.00154117 1.10589 280.179
2 19 0.055089 -0.00204553 1.10708 280.483
2 20 0.0224322 4.84983e-05 1.10429 280.725
3 0 0.0245641 -0.00151888 1.10991 292.821
3 1 0.0500543 -0.000662459 1.10276 282.853
3 2 0.0560783 0.00258545 1.10328 280.361
3 3 0.0576519 0.00232685 1.10982 279.983
3 4 0.0513249 -0.00190914 1.10603 279.742
3 5 0.0561046 -0.00708234 1.10304 279.309
3 6 0.0520005 -0.00744827 1.1075 280.693
3 7 0.0491907 -0.00322664 1.10849 281.883
3 8 0.0487193 -0.00458309 1.1044 279.919
3 9 0.0472051 -0.0070225 1.10689 280.19
3 10 0.0427961 -3.12383e-17 1.11064 281.543
3 11 0.0472051 0.0070225 1.10689 280.169
3 12 0.0487193 0.00458309 1.1044 280.09
3 13 0.0491907 0.00322664 1.10849 281.916
3 14 0.0520005 0.00744827 1.1075 281.004
3 15 0.0561046 0.00708234 1.10304 279.341
3 16 0.0513249 0.00190914 1.10603 279.995
3 17 0.0576519 -0.00232685 1.10982 281.168
3 18 0.0560783 -0.00258545 1.10328 280.205
3 19 0.0500543 0.000662459 1.10276 280.155
3 20 0.0245641 0.00151888 1.10991 282.01
4 0 0.0233337 0.00231059 1.10553 293.379
4 1 0.0501287 0.00268609 1.10482 283.876
4 2 0.058671 -0.00200032 1.10614 280.517
4 3 0.0570229 -0.00393385 1.10554 280.035
4 4 0.0557919 -0.00299981 1.10464 280.122
4 5 0.0591244 -0.00523648 1.10593 280.674
4 6 0.0508177 -0.00714604 1.10616 281.93
4 7 0.0501487 -0.00926047 1.10609 280.443
