TITLE = "LBM Flow with Thermal Convection"
VARIABLES = "X", "Y", "U", "V", "Rho", "Temperature"
ZONE T="Step 1001", I=41, J=21, F=POINT
0 0 0.0358911 0.00708526 1.0679 288.778
0 1 0.0547123 0.00643204 1.06474 279.972
0 2 0.0505515 -0.0024299 1.06332 280.25
0 3 0.0457226 0.00333068 1.06571 279.126
0 4 0.0525484 0.00585907 1.06692 279.217
0 5 0.0520304 -0.0016449 1.06524 279.62
0 6 0.0489223 -0.00320743 1.06617 280.32
0 7 0.0482064 0.00148312 1.06714 280.009
0 8 0.0522254 0.000917899 1.06663 279.991
0 9 0.0500008 -0.00247005 1.06702 279.724
0 10 0.0486022 2.9231e-16 1.06822 279.314
0 11 0.0500008 0.00247005 1.06702 279.842
0 12 0.0522254 -0.000917899 1.06663 280.1
0 13 0.0482064 -0.00148312 1.06714 280.138
0 14 0.0489223 0.00320743 1.06617 280.461
0 15 0.0520304 0.0016449 1.06524 280.035
0 16 0.0525484 -0.00585907 1.06692 279.415
0 17 0.0457226 -0.00333068 1.06571 279.455
0 18 0.0505515 0.0024299 1.06332 280.312
0 19 0.0547123 -0.00643204 1.06474 280.544
0 20 0.0358911 -0.00708526 1.0679 279.924
1 0 0.0239625 0.000912641 1.05805 290.943
1 1 0.0596831 0.00830878 1.06573 279.692
1 2 0.0529446 0.0110387 1.06759 279.596
1 3 0.0473937 0.0012259 1.06266 279.379
1 4 0.0544954 -0.00459978 1.06484 279.114
1 5 0.0533213 -0.00046984 1.06759 281.038
1 6 0.0496691 0.000107745 1.06569 280.27
1 7 0.0476112 -0.00359308 1.06511 280.211
1 8 0.0518719 -0.0021978 1.06847 280.393
1 9 0.0496329 0.00109433 1.06769 280.067
1 10 0.0486181 4.42666e-16 1.06592 280.004
1 11 0.0496329 -0.00109433 1.06769 280.113
1 12 0.0518719 0.0021978 1.06847 280.46
1 13 0.0476112 0.00359308 1.06511 280.204
1 14 0.0496691 -0.000107745 1.06569 280.609
1 15 0.0533213 0.00046984 1.06759 281.203
1 16 0.0544954 0.00459978 1.06484 279.45
1 17 0.0473937 -0.0012259 1.06266 278.817
1 18 0.0529446 -0.0110387 1.06759 280.696
1 19 0.0596831 -0.00830878 1.06573 280.547
1 20 0.0239625 -0.000912641 1.05805 278.477
2 0 0.0224016 -8.97798e-05 1.0625 290.481
2 1 0.0550992 0.00194729 1.06527 280.835
2 2 0.0553128 0.0013833 1.06433 280.06
2 3 0.055058 -0.00221563 1.06383 279.941
2 4 0.0515371 -0.00109131 1.06529 280.484
2 5 0.0533598 0.00102975 1.06636 280.224
2 6 0.0514998 -0.00300795 1.06591 279.583
2 7 0.0484154 -0.00595156 1.06623 280.347
2 8 0.0487 -0.00380565 1.06767 280.93
2 9 0.0488367 -0.000826395 1.06756 280.324
2 10 0.0487111 1.82121e-16 1.06681 279.408
2 11 0.0488367 0.000826395 1.06756 280.355
2 12 0.0487 0.00380565 1.06767 281.016
2 13 0.0484154 0.00595156 1.06623 280.482
2 14 0.0514998 0.00300795 1.06591 279.909
2 15 0.0533598 -0.00102975 1.06636 280.401
2 16 0.0515371 0.00109131 1.06529 280.672
2 17 0.055058 0.00221563 1.06383 279.976
2 18 0.0553128 -0.0013833 1.06433 279.883
2 19 0.0550992 -0.00194729 1.06527 280.141
2 20 0.0224016 8.97798e-05 1.0625 280.333
3 0 0.0245483 -0.0015857 1.06795 292.615
3 1 0.0499851 -0.000816007 1.06117 282.488
3 2 0.0560748 0.00239127 1.06185 280.083
3 3 0.0576683 0.00206892 1.06838 279.778
