TITLE = "LBM Flow with Thermal Convection"
VARIABLES = "X", "Y", "U", "V", "Rho", "Temperature"
ZONE T="Step 41", I=11, J=6, F=POINT
0 0 0.0506312 -0.000155008 1.00182 288.459
0 1 0.0517076 -0.00344105 1.00409 279.875
0 2 0.0480047 -0.00277117 1.00097 279.854
0 3 0.0504857 -0.000184127 0.998904 279.353
0 4 0.0540692 -0.00662176 1.00333 279.789
0 5 0.0360429 -0.00605883 1.0057 279.28
1 0 0.0504522 -0.00530082 1.00354 292.065
1 1 0.0526866 -0.00202286 0.999595 280.49
1 2 0.0498995 -0.00313179 0.99948 279.073
1 3 0.0535294 -0.0113509 1.00579 280.834
1 4 0.0586608 -0.0104187 1.0015 279.014
1 5 0.0234296 -0.00251414 0.994613 277.488
2 0 0.0505662 -0.00706196 1.00118 290.64
2 1 0.0485301 -0.00457336 1.00193 282.078
2 2 0.053144 -0.0022425 1.00327 280.913
2 3 0.0566112 -0.00434405 1.0019 279.959
2 4 0.0544227 -0.00340394 1.00016 279.426
2 5 0.0197031 -0.000275249 0.999416 279.869
3 0 0.0508338 0.000968376 1.00083 292.384
3 1 0.0489073 -0.00371176 1.00466 282.95
3 2 0.0541637 -0.00703986 1.00467 281.051
3 3 0.0546046 -0.00211734 0.999143 279.666
3 4 0.0490473 0.00289604 1.0004 280.043
3 5 0.0222043 0.00209971 1.00608 281.493
4 0 0.050557 -0.00132071 1.00452 292.215
4 1 0.0526709 -0.00138814 1.00181 283.065
4 2 0.0524171 -0.00172082 1.0016 280.511
4 3 0.0509236 -0.000792511 1.00453 281.391
4 4 0.0476776 -0.00126137 1.00389 281.125
4 5 0.0239443 -0.000863241 1.00153 280.56
5 0 0.0505024 -0.00377668 1.00429 292.773
5 1 0.0523583 -0.00119756 1.00237 283.622
5 2 0.0512596 -1.41237e-05 1.00241 280.602
5 3 0.0522023 -0.00265967 1.00556 281.017
5 4 0.0489187 -0.00384797 1.00423 280.844
5 5 0.0206893 -0.00138335 1.00089 280.471
6 0 0.0503974 -0.000514107 1.00192 292.379
6 1 0.0500631 -0.00196625 1.00616 283.727
6 2 0.0507052 -0.00161864 1.00599 281.073
6 3 0.0548154 0.000297476 1.00147 280.872
6 4 0.049346 -0.000240952 1.00261 280.699
6 5 0.0178168 -0.000504524 1.00755 282.017
7 0 0.0504037 -0.00119866 1.00451 293.314
7 1 0.0511825 -0.0027399 1.00418 283.703
7 2 0.0504695 -0.00373269 1.00534 280.793
7 3 0.0514641 -0.00108087 1.00486 281.937
7 4 0.0466358 0.0031908 1.00473 281.636
7 5 0.0212944 0.00278257 1.00507 281.225
8 0 0.0499614 -0.00419559 1.00679 292.649
8 1 0.0503202 0.000539936 1.00264 283.352
8 2 0.0509681 0.0033162 1.00271 280.562
8 3 0.0509948 -0.00388685 1.00849 281.723
8 4 0.0423051 -0.0069145 1.00689 281.365
8 5 0.0227999 -0.00174591 1.00182 280.609
9 0 0.0495595 0.00187727 1.0053 294.006
9 1 0.0460165 0.000949196 1.00698 285.092
9 2 0.0521431 0.000660872 1.00495 281.214
9 3 0.0568331 0.000777008 1.00196 280.875
9 4 0.0478113 -0.0051378 1.00387 281.342
9 5 0.0118737 -0.00535357 1.00795 282.238
10 0 0.0491848 0.00110856 1.00356 294.411
10 1 0.0454184 0.00135109 1.00565 285.133
10 2 0.0527528 0.000397239 1.00598 281.512
10 3 0.0572709 -0.000213769 1.0027 281.213
10 4 0.0479028 0.00507036 1.00088 280.276
10 5 0.0104753 0.00511531 1.00669 282.224
